seed,target,auroc
7,P10275,0.5254
7,P03372,0.5819
7,Q06187,0.708
7,P01116,0.7098
7,P15056,0.6905
7,P51531,0.6064
7,P00533,0.7361
7,Q9NWZ3,0.7917
7,P51532,0.6532
7,P10636,0.4846
7,O60885,0.5511
7,P01116/P04049,0.8276
7,Q92793,0.8432
7,P14902,0.4743
7,Q07889,0.2286
7,Q92918,0.8072
7,Q92793/Q09472,0.93
7,Q09472,0.9206
7,P36969,0.7519
7,Q13422,0.4411
7,P36888,0.7226
7,P17706,0.8611
7,Q9BY41,0.4201
7,P18031,0.9253
7,P09874,0.2328
7,P36897,0.4655
7,Q00534,0.8169
7,P11802,0.7333
7,P51531/P51532,0.6861
7,P50750,0.8073
7,Q02750,0.6154
7,O15379,1.0
7,P98170,0.5682
7,Q9UBN7,0.2806
7,P49336,0.5184
7,P43490,0.5309
7,Q9UM73,0.7691
7,P01116/Q07889,0.4682
7,P25440,0.832
7,Q15059,0.75
7,P37840,0.5379
7,Q06124,0.8156
7,P30530,0.9583
7,Q9NYV4,0.6199
7,P40337,0.7344
7,Q14004,0.5982
7,P06239,0.5789
7,P40763,0.4118
7,P24941,0.9333
7,P49840,0.9474
7,Q9Y2I7,0.6296
7,P33981,0.21
7,Q08881,0.5714
7,Q93009,0.7308
7,P08581,1.0
7,P15170,0.3462
7,Q96SW2,0.1731
7,O60674,0.9583
7,Q9Y616,0.7917
7,Q5S007,0.95
7,O75530,0.4571
7,Q16539,0.9167
7,P11474,0.5357
7,O43924,1.0
7,O60760,0.7619
13,P10275,0.524
13,P03372,0.5932
13,Q06187,0.7036
13,P01116,0.7312
13,P15056,0.6666
13,P51531,0.5781
13,P00533,0.7502
13,Q9NWZ3,0.7931
13,P51532,0.6455
13,P10636,0.4437
13,O60885,0.5298
13,P01116/P04049,0.8214
13,Q92793,0.8419
13,P14902,0.3673
13,Q07889,0.1936
13,Q92918,0.8358
13,Q92793/Q09472,0.944
13,Q09472,0.9284
13,P36969,0.7902
13,Q13422,0.4746
13,P36888,0.7492
13,P17706,0.8646
13,Q9BY41,0.4035
13,P18031,0.9406
13,P09874,0.3161
13,P36897,0.454
13,Q00534,0.8319
13,P11802,0.7382
13,P51531/P51532,0.7125
13,P50750,0.8091
13,Q02750,0.6264
13,O15379,1.0
13,P98170,0.5833
13,Q9UBN7,0.4056
13,P49336,0.523
13,P43490,0.4167
13,Q9UM73,0.5885
13,P01116/Q07889,0.4545
13,P25440,0.8279
13,Q15059,0.7115
13,P37840,0.5603
13,Q06124,0.6511
13,P30530,0.9735
13,Q9NYV4,0.6199
13,P40337,0.7406
13,Q14004,0.5982
13,P06239,0.5789
13,P40763,0.4286
13,P24941,0.8762
13,P49840,0.9474
13,Q9Y2I7,0.6759
13,P33981,0.78
13,Q08881,0.5714
13,Q93009,0.641
13,P08581,0.9833
13,P15170,0.2885
13,Q96SW2,0.1346
13,O60674,0.9375
13,Q9Y616,0.75
13,Q5S007,0.95
13,O75530,0.5429
13,Q16539,0.8333
13,P11474,0.3929
13,O43924,0.8889
13,O60760,0.7619
29,P10275,0.5588
29,P03372,0.634
29,Q06187,0.7156
29,P01116,0.6956
29,P15056,0.7136
29,P51531,0.6076
29,P00533,0.7566
29,Q9NWZ3,0.7772
29,P51532,0.6507
29,P10636,0.5167
29,O60885,0.5244
29,P01116/P04049,0.8283
29,Q92793,0.836
29,P14902,0.4275
29,Q07889,0.2354
29,Q92918,0.7876
29,Q92793/Q09472,0.9431
29,Q09472,0.9352
29,P36969,0.6798
29,Q13422,0.4615
29,P36888,0.7034
29,P17706,0.862
29,Q9BY41,0.3604
29,P18031,0.9312
29,P09874,0.3254
29,P36897,0.5256
29,Q00534,0.8356
29,P11802,0.7675
29,P51531/P51532,0.6878
29,P50750,0.7873
29,Q02750,0.6374
29,O15379,0.9879
29,P98170,0.5833
29,Q9UBN7,0.3903
29,P49336,0.5645
29,P43490,0.3086
29,Q9UM73,0.7483
29,P01116/Q07889,0.4886
29,P25440,0.8441
29,Q15059,0.7286
29,P37840,0.5201
29,Q06124,0.74
29,P30530,0.9811
29,Q9NYV4,0.614
29,P40337,0.7094
29,Q14004,0.5982
29,P06239,0.6579
29,P40763,0.4874
29,P24941,0.8762
29,P49840,0.8947
29,Q9Y2I7,0.713
29,P33981,0.89
29,Q08881,0.5714
29,Q93009,0.5641
29,P08581,0.9833
29,P15170,0.1538
29,Q96SW2,0.0769
29,O60674,0.9583
29,Q9Y616,0.75
29,Q5S007,0.95
29,O75530,0.6
29,Q16539,0.9167
29,P11474,0.4643
29,O43924,0.8889
29,O60760,0.7143
42,P10275,0.5566
42,P03372,0.5312
42,Q06187,0.6842
42,P01116,0.6479
42,P15056,0.7126
42,P51531,0.5965
42,P00533,0.769
42,Q9NWZ3,0.8263
42,P51532,0.6474
42,P10636,0.5325
42,O60885,0.5522
42,P01116/P04049,0.8312
42,Q92793,0.8339
42,P14902,0.5503
42,Q07889,0.253
42,Q92918,0.8162
42,Q92793/Q09472,0.9319
42,Q09472,0.9303
42,P36969,0.7628
42,Q13422,0.4787
42,P36888,0.6757
42,P17706,0.8611
42,Q9BY41,0.4299
42,P18031,0.9335
42,P09874,0.2857
42,P36897,0.5192
42,Q00534,0.8169
42,P11802,0.7301
42,P51531/P51532,0.6755
42,P50750,0.7745
42,Q02750,0.6154
42,O15379,1.0
42,P98170,0.548
42,Q9UBN7,0.4222
42,P49336,0.5876
42,P43490,0.4352
42,Q9UM73,0.8003
42,P01116/Q07889,0.5205
42,P25440,0.8239
42,Q15059,0.7286
42,P37840,0.6362
42,Q06124,0.6822
42,P30530,0.9811
42,Q9NYV4,0.6257
42,P40337,0.6531
42,Q14004,0.5923
42,P06239,0.6667
42,P40763,0.4874
42,P24941,0.9333
42,P49840,0.8947
42,Q9Y2I7,0.6296
42,P33981,0.83
42,Q08881,0.3571
42,Q93009,0.641
42,P08581,1.0
42,P15170,0.2308
42,Q96SW2,0.1923
42,O60674,0.9375
42,Q9Y616,1.0
42,Q5S007,0.65
42,O75530,0.4
42,Q16539,0.9444
