seed,target,auroc
7,P10275,0.7994
7,P03372,0.8192
7,Q06187,0.8159
7,P01116,0.8499
7,P15056,0.7664
7,P51531,0.6344
7,P00533,0.8032
7,Q9NWZ3,0.8377
7,P51532,0.6733
7,P10636,0.7095
7,O60885,0.6121
7,P01116/P04049,0.8482
7,Q92793,0.8525
7,P14902,0.6099
7,Q07889,0.3034
7,Q92918,0.875
7,Q92793/Q09472,0.9291
7,Q09472,0.9362
7,P36969,0.8197
7,Q13422,0.5818
7,P36888,0.7435
7,P17706,0.8672
7,Q9BY41,0.4819
7,P18031,0.9318
7,P09874,0.3796
7,P36897,0.5754
7,Q00534,0.8488
7,P11802,0.7236
7,P51531/P51532,0.6561
7,P50750,0.7218
7,Q02750,0.5934
7,O15379,1.0
7,P98170,0.5707
7,Q9UBN7,0.5611
7,P49336,0.4839
7,P43490,0.5802
7,Q9UM73,0.8576
7,P01116/Q07889,0.4136
7,P25440,0.8704
7,Q15059,0.765
7,P37840,0.3884
7,Q06124,0.6844
7,P30530,0.9545
7,Q9NYV4,0.8187
7,P40337,0.75
7,Q14004,0.625
7,P06239,0.5351
7,P40763,0.479
7,P24941,0.9333
7,P49840,1.0
7,Q9Y2I7,0.3519
7,P33981,0.84
7,Q08881,0.6429
7,Q93009,0.5513
7,P08581,1.0
7,P15170,0.6346
7,Q96SW2,0.0
7,O60674,1.0
7,Q9Y616,0.9583
7,Q5S007,0.9
7,O75530,0.5429
7,Q16539,0.8889
7,P11474,0.3214
7,O43924,1.0
7,O60760,0.9048
13,P10275,0.8193
13,P03372,0.8354
13,Q06187,0.8052
13,P01116,0.8548
13,P15056,0.745
13,P51531,0.637
13,P00533,0.7942
13,Q9NWZ3,0.8348
13,P51532,0.6544
13,P10636,0.7151
13,O60885,0.6275
13,P01116/P04049,0.8408
13,Q92793,0.8398
13,P14902,0.5845
13,Q07889,0.3024
13,Q92918,0.8951
13,Q92793/Q09472,0.9338
13,Q09472,0.9355
13,P36969,0.835
13,Q13422,0.5581
13,P36888,0.7263
13,P17706,0.8689
13,Q9BY41,0.4521
13,P18031,0.9353
13,P09874,0.7275
13,P36897,0.5627
13,Q00534,0.8538
13,P11802,0.7561
13,P51531/P51532,0.6667
13,P50750,0.7582
13,Q02750,0.6703
13,O15379,1.0
13,P98170,0.5758
13,Q9UBN7,0.5333
13,P49336,0.4194
13,P43490,0.5556
13,Q9UM73,0.875
13,P01116/Q07889,0.4091
13,P25440,0.8988
13,Q15059,0.7607
13,P37840,0.375
13,Q06124,0.6489
13,P30530,0.9545
13,Q9NYV4,0.8421
13,P40337,0.75
13,Q14004,0.6429
13,P06239,0.5439
13,P40763,0.3277
13,P24941,0.8762
13,P49840,1.0
13,Q9Y2I7,0.6296
13,P33981,0.83
13,Q08881,0.3143
13,Q93009,0.5769
13,P08581,0.9833
13,P15170,0.2692
13,Q96SW2,0.1538
13,O60674,0.9375
13,Q9Y616,0.9167
13,Q5S007,0.9
13,O75530,0.5143
13,Q16539,0.8889
13,P11474,0.3929
13,O43924,1.0
13,O60760,0.8571
29,P10275,0.7931
29,P03372,0.8172
29,Q06187,0.8062
29,P01116,0.8517
29,P15056,0.7559
29,P51531,0.6332
29,P00533,0.8221
29,Q9NWZ3,0.8337
29,P51532,0.6692
29,P10636,0.711
29,O60885,0.6394
29,P01116/P04049,0.8328
29,Q92793,0.8357
29,P14902,0.531
29,Q07889,0.3491
29,Q92918,0.8745
29,Q92793/Q09472,0.9319
29,Q09472,0.9414
29,P36969,0.8044
29,Q13422,0.5237
29,P36888,0.7663
29,P17706,0.8533
29,Q9BY41,0.4639
29,P18031,0.9365
29,P09874,0.578
29,P36897,0.6087
29,Q00534,0.8419
29,P11802,0.7382
29,P51531/P51532,0.6914
29,P50750,0.7673
29,Q02750,0.6044
29,O15379,1.0
29,P98170,0.553
29,Q9UBN7,0.4722
29,P49336,0.3456
29,P43490,0.5833
29,Q9UM73,0.8889
29,P01116/Q07889,0.4682
29,P25440,0.8664
29,Q15059,0.7607
29,P37840,0.4107
29,Q06124,0.6578
29,P30530,0.9545
29,Q9NYV4,0.8363
29,P40337,0.7438
29,Q14004,0.6429
29,P06239,0.386
29,P40763,0.3277
29,P24941,0.9333
29,P49840,0.8947
29,Q9Y2I7,0.1667
29,P33981,0.79
29,Q08881,0.5143
29,Q93009,0.5897
29,P08581,0.9833
29,P15170,0.1731
29,Q96SW2,0.0385
29,O60674,0.9792
29,Q9Y616,0.8333
29,Q5S007,0.8
29,O75530,0.6857
29,Q16539,0.9167
29,P11474,0.3929
29,O43924,1.0
29,O60760,0.8571
42,P10275,0.8018
42,P03372,0.832
42,Q06187,0.8154
42,P01116,0.8543
42,P15056,0.7456
42,P51531,0.6351
42,P00533,0.8188
42,Q9NWZ3,0.8261
42,P51532,0.6558
42,P10636,0.7023
42,O60885,0.6347
42,P01116/P04049,0.8321
42,Q92793,0.8425
42,P14902,0.5079
42,Q07889,0.3486
42,Q92918,0.8957
42,Q92793/Q09472,0.9319
42,Q09472,0.946
42,P36969,0.6525
42,Q13422,0.6023
42,P36888,0.7239
42,P17706,0.8533
42,Q9BY41,0.4917
42,P18031,0.9365
42,P09874,0.6177
42,P36897,0.5409
42,Q00534,0.8431
42,P11802,0.7439
42,P51531/P51532,0.6931
42,P50750,0.7455
42,Q02750,0.6374
42,O15379,1.0
42,P98170,0.5505
42,Q9UBN7,0.525
42,P49336,0.5069
42,P43490,0.591
42,Q9UM73,0.8368
42,P01116/Q07889,0.4773
42,P25440,0.8745
42,Q15059,0.7692
42,P37840,0.4464
