target,random_auroc,n_entries,n_fold_evals
O00444,0.8778,30,3
O15264,0.9167,9,6
O15379,0.9799,43,13
O43924,1.0,10,3
O60674,0.9841,14,7
O60760,1.0,10,6
O60885,0.8043,162,15
O75530,0.7667,12,5
P00533,0.8563,402,15
P00918,0.5,3,2
P01116,0.8954,722,15
P01116/P04049,0.8208,139,15
P01116/Q07889,0.4743,32,15
P03372,0.8759,1291,15
P06239,0.5067,25,10
P07437,0.2222,16,3
P08581,1.0,17,6
P09874,0.8858,57,14
P10275,0.9067,1968,15
P10415,0.75,9,3
P10636,0.766,210,15
P11362,0.6667,9,5
P11474,0.5714,11,7
P11802,0.8501,56,15
P14902,0.7108,109,15
P15056,0.7907,606,15
P15170,0.4759,17,9
P17706,0.891,68,15
P18031,0.9352,59,15
P21802,0.5,4,3
P22607,0.8172,43,4
P24941,0.8939,22,11
P25440,0.8637,32,13
P30530,0.971,28,11
P31749,1.0,8,5
P31751,1.0,6,2
P33981,0.8835,20,13
P36507,1.0,5,1
P36888,0.8384,70,15
P36897,0.7708,57,15
P36969,0.9013,76,15
P37840,0.6575,30,13
P40337,0.8859,26,14
P40763,0.4394,24,11
P42229,0.841,50,3
P42568/Q03111,0.6667,9,3
P43490,0.7556,36,14
P49336,0.3805,38,12
P49840,0.9375,22,6
P49841,0.8875,23,6
P50750,0.7094,47,15
P51531,0.7914,432,15
P51531/P51532,0.807,48,15
P51532,0.8286,271,15
P56524,0.1667,6,3
P61964,0.6571,24,5
P98170,0.8433,39,10
Q00534,0.9074,57,15
Q00987,0.6667,4,3
Q02750,1.0,46,10
Q03111,0.125,7,4
Q05397,0.9688,70,4
Q06124,0.7294,30,12
Q06187,0.9152,761,15
Q07817,0.8855,272,15
Q07889,0.7628,91,15
Q08881,0.7344,19,12
Q09472,0.9273,80,15
Q12866,1.0,3,2
Q13164,1.0,7,4
Q13422,0.7979,73,14
Q13489,0.8204,38,7
Q13490,1.0,38,6
Q13547,0.8202,30,6
Q14004,0.925,26,14
Q14145,0.9,7,5
Q15059,0.831,31,10
Q16539,0.8889,12,7
Q5S007,0.9583,13,7
Q8NB16,0.75,11,3
Q8TBX8,1.0,5,2
Q92793,0.8701,111,15
Q92793/Q09472,0.9126,83,13
Q92918,0.8696,91,15
Q93009,0.822,19,11
Q96SW2,0.8929,17,7
Q9BY41,0.8266,61,15
Q9H8M2,0.7778,11,3
Q9NPI1,0.0,3,2
Q9NWZ3,0.938,313,15
Q9NYV4,0.925,28,14
Q9UBN7,0.7777,39,15
Q9UM73,0.8415,34,13
Q9Y243,1.0,6,3
Q9Y2I7,0.7354,21,8
Q9Y616,0.3333,14,3
