target,auroc
P10275,0.8053760953179675
P03372,0.8243856710172434
Q06187,0.8168179525970752
P01116,0.8545319797522164
P15056,0.7491294341623288
P51531,0.6373484515777005
P00533,0.7963416848220769
Q9NWZ3,0.8406446540880502
P51532,0.655846042120552
P10636,0.7022468272468272
O60885,0.6231773611746176
P01116/P04049,0.8414529914529915
Q92793,0.843288084464555
P14902,0.5670565302144249
Q07889,0.35054617676266137
Q92918,0.8730579096045198
Q92793/Q09472,0.9347014925373135
Q09472,0.9372829861111112
P36969,0.7158469945355191
Q13422,0.5621931260229133
P36888,0.7570806100217865
P17706,0.8619791666666666
Q9BY41,0.4719907407407407
P18031,0.9333333333333332
P09874,0.5405643738977073
P36897,0.6023017902813299
Q00534,0.8416666666666667
P11802,0.7203252032520325
P51531/P51532,0.6884185773074663
P50750,0.7393939393939394
Q02750,0.6483516483516484
O15379,1.0
P98170,0.5639730639730639
Q9UBN7,0.5236111111111111
P49336,0.5284178187403994
P43490,0.559156378600823
Q9UM73,0.8599537037037037
P01116/Q07889,0.44848484848484854
P25440,0.8596491228070176
Q15059,0.7806267806267807
P37840,0.4538690476190476
Q06124,0.6755555555555556
P30530,0.9671717171717171
Q9NYV4,0.8148148148148149
P40337,0.74375
Q14004,0.6626984126984127
P06239,0.5087719298245613
P40763,0.3333333333333333
P24941,0.9333333333333332
P49840,0.9824561403508772
Q9Y2I7,0.49382716049382713
P33981,0.71
Q08881,0.5857142857142857
Q93009,0.5341880341880342
P08581,0.9944444444444445
P15170,0.49358974358974356
Q96SW2,0.10897435897435892
O60674,0.9375
Q9Y616,0.9305555555555557
Q5S007,0.8666666666666667
O75530,0.580952380952381
Q16539,0.8981481481481483
P11474,0.46428571428571425
O43924,1.0
O60760,0.8253968253968255
