target,seed,n,auroc
P10275,42,1968,0.5079911217791144
P03372,42,1291,0.6020680259126139
Q06187,42,761,0.7690847201210287
P01116,42,722,0.7541635204295662
P15056,42,606,0.6687572296124928
P51531,42,432,0.6942947259152792
P00533,42,402,0.7680078976034858
Q9NWZ3,42,313,0.8896226415094339
P51532,42,271,0.6596677559912854
P10636,42,210,0.329496891996892
O60885,42,162,0.5198140527358633
P01116/P04049,42,139,0.8355128205128205
Q92793,42,111,0.821945701357466
P14902,42,109,0.46374269005847946
Q07889,42,91,0.4205561072492552
Q92918,42,91,0.753707627118644
Q92793/Q09472,42,83,0.9430970149253732
Q09472,42,80,0.9166666666666667
P36969,42,76,0.7562841530054645
Q13422,42,73,0.4885433715220949
P36888,42,70,0.713235294117647
P17706,42,68,0.8220486111111112
Q9BY41,42,61,0.43819444444444444
P18031,42,59,0.9311764705882353
P09874,42,57,0.4007936507936508
P36897,42,57,0.5268542199488491
Q00534,42,57,0.8524999999999999
P11802,42,56,0.7642276422764228
P51531/P51532,42,48,0.6754850088183422
P50750,42,47,0.7272727272727273
Q02750,42,46,0.6263736263736264
O15379,42,43,0.996969696969697
P98170,42,39,0.5404040404040404
Q9UBN7,42,39,0.5069444444444444
P49336,42,38,0.5829493087557603
P43490,42,36,0.19753086419753085
Q9UM73,42,34,0.7291666666666667
P01116/Q07889,42,32,0.4636363636363636
P25440,42,32,0.8906882591093118
Q15059,42,31,0.7905982905982907
P37840,42,30,0.46205357142857145
Q06124,42,30,0.48444444444444446
P30530,42,28,0.9924242424242424
Q9NYV4,42,28,0.8421052631578948
P40337,42,26,0.6875
Q14004,42,26,0.6964285714285714
P06239,42,25,0.6578947368421053
P40763,42,24,0.6050420168067228
P24941,42,22,0.8857142857142858
P49840,42,22,0.9298245614035088
Q9Y2I7,42,21,0.6296296296296297
P33981,42,20,0.71
Q08881,42,19,0.5714285714285714
Q93009,42,19,0.7692307692307693
P08581,42,17,0.8166666666666667
P15170,42,17,0.5192307692307692
Q96SW2,42,17,0.2115384615384615
O60674,42,14,1.0
Q9Y616,42,14,0.625
Q5S007,42,13,0.55
O75530,42,12,0.6857142857142857
Q16539,42,12,0.9166666666666667
P11474,42,11,0.7142857142857143
O43924,42,10,0.0
O60760,42,10,0.761904761904762
P10275,43,1968,0.4993066601116285
P03372,43,1291,0.6270158083908521
Q06187,43,761,0.7614599092284418
P01116,43,722,0.7808016612131891
P15056,43,606,0.6930848756506651
P51531,43,432,0.7210843614005669
P00533,43,402,0.7733523965141612
Q9NWZ3,43,313,0.8665094339622642
P51532,43,271,0.664025054466231
P10636,43,210,0.33619852369852365
O60885,43,162,0.5472488949855205
P01116/P04049,43,139,0.8370512820512821
Q92793,43,111,0.8314479638009049
P14902,43,109,0.38421052631578945
Q07889,43,91,0.38182720953326715
Q92918,43,91,0.764300847457627
Q92793/Q09472,43,83,0.9402985074626866
Q09472,43,80,0.9225260416666667
P36969,43,76,0.701639344262295
Q13422,43,73,0.4828150572831424
P36888,43,70,0.7189542483660131
P17706,43,68,0.7838541666666666
Q9BY41,43,61,0.43680555555555556
P18031,43,59,0.918235294117647
P09874,43,57,0.3915343915343915
P36897,43,57,0.5153452685421994
Q00534,43,57,0.86375
P11802,43,56,0.7544715447154472
P51531/P51532,43,48,0.6737213403880071
P50750,43,47,0.7272727272727273
Q02750,43,46,0.6520146520146519
O15379,43,43,0.996969696969697
P98170,43,39,0.5505050505050505
Q9UBN7,43,39,0.5208333333333333
P49336,43,38,0.5783410138248848
P43490,43,36,0.20370370370370372
Q9UM73,43,34,0.7291666666666666
P01116/Q07889,43,32,0.48181818181818187
P25440,43,32,0.8947368421052632
Q15059,43,31,0.7948717948717949
P37840,43,30,0.4486607142857143
Q06124,43,30,0.5066666666666666
P30530,43,28,0.9924242424242424
Q9NYV4,43,28,0.7660818713450293
P40337,43,26,0.65
Q14004,43,26,0.6547619047619048
P06239,43,25,0.7192982456140351
P40763,43,24,0.4117647058823529
P24941,43,22,0.9428571428571428
P49840,43,22,0.8771929824561403
Q9Y2I7,43,21,0.6111111111111112
P33981,43,20,0.6599999999999999
Q08881,43,19,0.41428571428571426
Q93009,43,19,0.7435897435897436
P08581,43,17,0.9333333333333333
P15170,43,17,0.5576923076923077
Q96SW2,43,17,0.15384615384615383
O60674,43,14,0.9791666666666666
Q9Y616,43,14,0.5833333333333333
Q5S007,43,13,0.6166666666666667
O75530,43,12,0.6285714285714286
Q16539,43,12,0.9166666666666667
P11474,43,11,0.5357142857142857
O43924,43,10,0.0
O60760,43,10,0.6666666666666667
P10275,44,1968,0.505385494086006
P03372,44,1291,0.6364719509738435
Q06187,44,761,0.7582829046898639
P01116,44,722,0.760508431915429
P15056,44,606,0.6961213128976287
P51531,44,432,0.7099053778895675
P00533,44,402,0.7609272875816994
Q9NWZ3,44,313,0.8770440251572327
P51532,44,271,0.6381535947712418
P10636,44,210,0.3197843822843823
O60885,44,162,0.5225575369608291
P01116/P04049,44,139,0.8365384615384617
Q92793,44,111,0.8183257918552036
P14902,44,109,0.3573099415204678
Q07889,44,91,0.3962264150943397
Q92918,44,91,0.7542372881355932
Q92793/Q09472,44,83,0.9393656716417911
Q09472,44,80,0.9251302083333333
P36969,44,76,0.7945355191256831
Q13422,44,73,0.4828150572831424
P36888,44,70,0.707516339869281
P17706,44,68,0.8012152777777777
Q9BY41,44,61,0.4020833333333334
P18031,44,59,0.9099999999999999
P09874,44,57,0.4444444444444444
P36897,44,57,0.4411764705882353
Q00534,44,57,0.8537499999999999
P11802,44,56,0.7691056910569106
P51531/P51532,44,48,0.6507936507936507
P50750,44,47,0.7854545454545454
Q02750,44,46,0.608058608058608
O15379,44,43,0.996969696969697
P98170,44,39,0.5454545454545454
Q9UBN7,44,39,0.3569444444444444
P49336,44,38,0.5276497695852533
P43490,44,36,0.21604938271604937
Q9UM73,44,34,0.7013888888888888
P01116/Q07889,44,32,0.5045454545454546
P25440,44,32,0.8825910931174089
Q15059,44,31,0.7905982905982907
P37840,44,30,0.484375
Q06124,44,30,0.72
P30530,44,28,0.9848484848484849
Q9NYV4,44,28,0.7660818713450293
P40337,44,26,0.6625
Q14004,44,26,0.6488095238095237
P06239,44,25,0.5701754385964912
P40763,44,24,0.4453781512605042
P24941,44,22,1.0
P49840,44,22,0.7894736842105263
Q9Y2I7,44,21,0.4444444444444444
P33981,44,20,0.65
Q08881,44,19,0.3
Q93009,44,19,0.7179487179487178
P08581,44,17,0.9166666666666666
P15170,44,17,0.5769230769230769
Q96SW2,44,17,0.17307692307692304
O60674,44,14,0.9791666666666666
Q9Y616,44,14,0.5833333333333333
Q5S007,44,13,0.6166666666666666
O75530,44,12,0.7428571428571429
Q16539,44,12,0.9166666666666667
P11474,44,11,0.6785714285714286
O43924,44,10,0.7777777777777778
O60760,44,10,0.7619047619047619
