target,auroc
P10275,0.8075889027058812
P03372,0.8323009107583998
Q06187,0.825743822491175
P01116,0.8466366725396425
P15056,0.7538829043763254
P51531,0.6315726434303509
P00533,0.8001713416848221
Q9NWZ3,0.8486373165618449
P51532,0.6656681190994916
P10636,0.6967754467754469
O60885,0.6245491032871004
P01116/P04049,0.8396153846153847
Q92793,0.8386123680241327
P14902,0.5656920077972709
Q07889,0.34260178748758685
Q92918,0.8806497175141242
Q92793/Q09472,0.9371890547263683
Q09472,0.9286024305555557
P36969,0.7504553734061931
Q13422,0.5698308783415167
P36888,0.7845860566448802
P17706,0.8538773148148148
Q9BY41,0.48935185185185187
P18031,0.9329411764705883
P09874,0.4995590828924163
P36897,0.618073316283035
Q00534,0.8314583333333333
P11802,0.7203252032520325
P51531/P51532,0.6860670194003528
P50750,0.7551515151515152
Q02750,0.5970695970695971
O15379,1.0
P98170,0.5673400673400674
Q9UBN7,0.4611111111111111
P49336,0.543778801843318
P43490,0.5720164609053499
Q9UM73,0.8391203703703703
P01116/Q07889,0.45303030303030306
P25440,0.8582995951417004
Q15059,0.7613960113960113
P37840,0.42857142857142855
Q06124,0.6888888888888888
P30530,0.9595959595959594
Q9NYV4,0.6832358674463938
P40337,0.71875
Q14004,0.6388888888888888
P06239,0.5467836257309941
P40763,0.28291316526610644
P24941,0.8952380952380953
P49840,0.9649122807017544
Q9Y2I7,0.6049382716049383
P33981,0.6999999999999998
Q08881,0.5238095238095237
Q93009,0.5598290598290598
P08581,1.0
P15170,0.6217948717948718
Q96SW2,0.09615384615384615
O60674,0.9722222222222222
Q9Y616,0.9027777777777778
Q5S007,0.9
O75530,0.5428571428571428
Q16539,0.888888888888889
P11474,0.5833333333333334
O43924,0.8518518518518517
O60760,0.873015873015873
