target,auroc
O14965,0.5000
O15379,0.7500
O60674,0.4500
O60885,0.4847
P00533,0.5104
P03372,0.3600
P06730,0.5000
P09874,0.4714
P10275,0.6686
P11474,0.1111
P11802,0.5998
P12931,0.2500
P23458,0.5000
P24941,0.5833
P25440,0.5089
P30291,0.0000
P31749,0.5000
P31751,0.8542
P36888,0.4813
P40763,0.2500
P42336,0.5000
P42684,0.1667
P49841,0.7857
P51451,0.5000
P62942,0.3333
Q00534,0.5759
Q00987,0.0714
Q02750,0.2396
Q05397,0.7000
Q06124,0.2500
Q06187,0.4781
Q07817,0.5100
Q13164,0.0000
Q13547,1.0000
Q15059,0.7875
Q15119,0.7500
Q16539,0.6250
Q96SW2,0.4400
Q9NWZ3,0.1000
Q9NZQ7,0.1667
Q9UM73,0.6046
Q9Y243,0.6000
