target,n,auroc,rate
P10275,1968,0.4864585442031291,0.767276406288147
P03372,1291,0.5636841714643173,0.6537567973136902
Q06187,761,0.7216792738275339,0.8685939311981201
P01116,722,0.6163426042453226,0.7590027451515198
P15056,606,0.7034141844997108,0.8151814937591553
P51531,432,0.6466443086996447,0.8402777910232544
P00533,402,0.8101681644880174,0.7611940503120422
Q9NWZ3,313,0.8283018867924529,0.8466453552246094
P51532,271,0.6759803921568628,0.49815496802330017
P10636,210,0.4965034965034965,0.37142857909202576
O60885,161,0.5387345679012345,0.4968944191932678
Q92793,111,0.885972850678733,0.7657657861709595
P14902,109,0.39649122807017545,0.17431192100048065
Q07889,91,0.8028798411122144,0.4175824224948883
Q92918,91,0.786811440677966,0.6483516693115234
Q09472,80,0.9554036458333333,0.6000000238418579
P36969,76,0.7103825136612022,0.19736842811107635
P36888,70,0.7295751633986928,0.48571428656578064
P17706,68,0.8914930555555556,0.47058823704719543
Q9BY41,61,0.42083333333333334,0.26229506731033325
P18031,59,0.9629411764705882,0.4237288236618042
Q00534,57,0.84,0.5614035129547119
P09874,57,0.3558201058201058,0.3684210479259491
P36897,57,0.4757033248081841,0.4035087823867798
P11802,56,0.7040650406504064,0.2678571343421936
P50750,47,0.8527272727272728,0.4680851101875305
Q02750,46,0.6446886446886447,0.15217390656471252
O15379,43,0.8878787878787879,0.23255814611911774
Q9UBN7,39,0.5444444444444445,0.6153846383094788
P98170,39,0.45707070707070707,0.8461538553237915
P49336,38,0.47235023041474644,0.18421052396297455
P43490,36,0.48456790123456783,0.5
Q9UM73,34,0.45659722222222227,0.529411792755127
P25440,31,0.9166666666666667,0.4193548262119293
Q15059,30,0.7805429864253395,0.4333333373069763
Q06124,30,0.7488888888888889,0.5
P37840,30,0.4486607142857143,0.5333333611488342
Q9NYV4,28,0.7485380116959065,0.6785714030265808
P30530,28,0.9848484848484849,0.2142857164144516
P40337,26,0.53125,0.38461539149284363
Q14004,26,0.6339285714285715,0.4615384638309479
P06239,25,0.6929824561403509,0.7599999904632568
P40763,24,0.23529411764705882,0.2916666567325592
P24941,22,0.8857142857142858,0.3181818127632141
P49840,22,0.8421052631578947,0.13636364042758942
Q9Y2I7,21,0.6666666666666666,0.1428571492433548
P33981,20,0.8799999999999999,0.5
Q93009,19,0.5769230769230769,0.31578946113586426
Q08881,19,0.5714285714285714,0.7368420958518982
Q96SW2,17,0.17307692307692304,0.23529411852359772
P08581,17,0.8333333333333334,0.29411765933036804
P15170,17,0.1923076923076923,0.23529411852359772
O60674,14,0.8958333333333334,0.4285714328289032
Q9Y616,14,0.875,0.1428571492433548
Q5S007,13,0.95,0.23076923191547394
Q16539,12,0.75,0.5
O75530,12,0.5714285714285714,0.4166666567325592
P11474,11,0.4285714285714286,0.3636363744735718
O43924,10,0.2222222222222222,0.10000000149011612
O60760,10,0.7619047619047619,0.699999988079071
