target,seed,n,auroc
P10275,42,1968,0.507869660776772
P03372,42,1291,0.5420549847853515
Q06187,42,761,0.7048184568835099
P01116,42,722,0.7375618759963084
P15056,42,606,0.7375921775592829
P51531,42,432,0.6116500978161058
P00533,42,402,0.7619315087145969
Q9NWZ3,42,313,0.8426100628930817
P51532,42,271,0.6553376906318084
P10636,42,210,0.5324397824397824
O60885,42,162,0.5794086267337295
P01116/P04049,42,139,0.8297435897435897
Q92793,42,111,0.8407239819004525
P14902,42,109,0.46900584795321637
Q07889,42,91,0.26812313803376364
Q92918,42,91,0.7902542372881355
Q92793/Q09472,42,83,0.9477611940298507
Q09472,42,80,0.9309895833333333
P36969,42,76,0.8502732240437157
Q13422,42,73,0.4664484451718494
P36888,42,70,0.6879084967320261
P17706,42,68,0.8593750000000001
Q9BY41,42,61,0.3888888888888889
P18031,42,59,0.9376470588235294
P09874,42,57,0.3214285714285714
P36897,42,57,0.5153452685421995
Q00534,42,57,0.8412499999999999
P11802,42,56,0.7536585365853659
P51531/P51532,42,48,0.689594356261023
P50750,42,47,0.7990909090909091
Q02750,42,46,0.8168498168498168
O15379,42,43,1.0
P98170,42,39,0.5656565656565656
Q9UBN7,42,39,0.38472222222222224
P49336,42,38,0.6082949308755761
P43490,42,36,0.4104938271604938
Q9UM73,42,34,0.5833333333333333
P01116/Q07889,42,32,0.44090909090909086
P25440,42,32,0.8461538461538461
Q15059,42,31,0.7777777777777779
P37840,42,30,0.4776785714285714
Q06124,42,30,0.7644444444444445
P30530,42,28,0.9469696969696969
Q9NYV4,42,28,0.7368421052631579
P40337,42,26,0.65
Q14004,42,26,0.6726190476190476
P06239,42,25,0.7017543859649122
P40763,42,24,0.2773109243697479
P24941,42,22,0.8761904761904762
P49840,42,22,0.8596491228070176
Q9Y2I7,42,21,0.6203703703703703
P33981,42,20,0.73
Q08881,42,19,0.6142857142857143
Q93009,42,19,0.5256410256410257
P08581,42,17,1.0
P15170,42,17,0.5384615384615384
Q96SW2,42,17,0.17307692307692307
O60674,42,14,0.9583333333333334
Q9Y616,42,14,1.0
Q5S007,42,13,0.9833333333333333
O75530,42,12,0.5142857142857143
Q16539,42,12,0.9166666666666667
P11474,42,11,0.6785714285714285
O43924,42,10,0.8888888888888888
O60760,42,10,0.8571428571428571
P10275,43,1968,0.5118793198183869
P03372,43,1291,0.5308123137928475
Q06187,43,761,0.684213313161876
P01116,43,722,0.7466020639315379
P15056,43,606,0.7091526894158474
P51531,43,432,0.5992334411306743
P00533,43,402,0.7592422385620916
Q9NWZ3,43,313,0.839622641509434
P51532,43,271,0.6588779956427016
P10636,43,210,0.5276806526806527
O60885,43,162,0.5835238530711783
P01116/P04049,43,139,0.8333333333333333
Q92793,43,111,0.8373303167420815
P14902,43,109,0.3678362573099415
Q07889,43,91,0.259682224428997
Q92918,43,91,0.7457627118644069
Q92793/Q09472,43,83,0.9468283582089553
Q09472,43,80,0.9283854166666666
P36969,43,76,0.7901639344262295
Q13422,43,73,0.4607201309328969
P36888,43,70,0.6633986928104576
P17706,43,68,0.8498263888888888
Q9BY41,43,61,0.39444444444444443
P18031,43,59,0.931764705882353
P09874,43,57,0.3161375661375661
P36897,43,57,0.4948849104859335
Q00534,43,57,0.85625
P11802,43,56,0.73739837398374
P51531/P51532,43,48,0.6807760141093475
P50750,43,47,0.8154545454545454
Q02750,43,46,0.717948717948718
O15379,43,43,1.0
P98170,43,39,0.5656565656565656
Q9UBN7,43,39,0.40972222222222215
P49336,43,38,0.5898617511520737
P43490,43,36,0.4104938271604939
Q9UM73,43,34,0.7465277777777777
P01116/Q07889,43,32,0.49090909090909096
P25440,43,32,0.8582995951417004
Q15059,43,31,0.7649572649572649
P37840,43,30,0.5133928571428572
Q06124,43,30,0.7999999999999999
P30530,43,28,0.946969696969697
Q9NYV4,43,28,0.7309941520467836
P40337,43,26,0.68125
Q14004,43,26,0.6309523809523809
P06239,43,25,0.6578947368421052
P40763,43,24,0.38655462184873945
P24941,43,22,0.8761904761904762
P49840,43,22,0.8596491228070176
Q9Y2I7,43,21,0.10185185185185187
P33981,43,20,0.72
Q08881,43,19,0.6571428571428571
Q93009,43,19,0.6153846153846154
P08581,43,17,0.9833333333333333
P15170,43,17,0.5192307692307693
Q96SW2,43,17,0.30769230769230765
O60674,43,14,0.9375
Q9Y616,43,14,0.9583333333333333
Q5S007,43,13,0.9166666666666667
O75530,43,12,0.4571428571428572
Q16539,43,12,0.9166666666666667
P11474,43,11,0.5714285714285714
O43924,43,10,0.0
O60760,43,10,0.8571428571428571
P10275,44,1968,0.4921455218485208
P03372,44,1291,0.5448248990107828
Q06187,44,761,0.6989031770045386
P01116,44,722,0.7207924322510278
P15056,44,606,0.7242987275882012
P51531,44,432,0.6151834551044038
P00533,44,402,0.7604677287581699
Q9NWZ3,44,313,0.8398584905660377
P51532,44,271,0.6464596949891067
P10636,44,210,0.5033022533022533
O60885,44,162,0.6002895900015242
P01116/P04049,44,139,0.8358974358974359
Q92793,44,111,0.8389140271493213
P14902,44,109,0.4093567251461988
Q07889,44,91,0.26266137040714993
Q92918,44,91,0.7817796610169492
Q92793/Q09472,44,83,0.9468283582089552
Q09472,44,80,0.9205729166666667
P36969,44,76,0.8633879781420765
Q13422,44,73,0.4689034369885434
P36888,44,70,0.7083333333333333
P17706,44,68,0.8489583333333334
Q9BY41,44,61,0.3548611111111112
P18031,44,59,0.9341176470588235
P09874,44,57,0.32671957671957674
P36897,44,57,0.4884910485933504
Q00534,44,57,0.845
P11802,44,56,0.7113821138211383
P51531/P51532,44,48,0.6878306878306879
P50750,44,47,0.8118181818181818
Q02750,44,46,0.6923076923076923
O15379,44,43,1.0
P98170,44,39,0.5808080808080809
Q9UBN7,44,39,0.43749999999999994
P49336,44,38,0.6082949308755761
P43490,44,36,0.345679012345679
Q9UM73,44,34,0.7083333333333334
P01116/Q07889,44,32,0.4454545454545455
P25440,44,32,0.8461538461538461
Q15059,44,31,0.7564102564102564
P37840,44,30,0.5625
