target,n,egnn,rf_dm,rf_merged,class,egnn_wins,delta,oracle_best,disagreement,both_above_chance
P10275,123,0.7842,0.3018,0.5274504275234487,non-kinase,True,0.4824,0.7842,0.4824,False
P00533,88,0.7092,0.6883,0.7612223129992737,kinase,True,0.02090000000000003,0.7092,0.02090000000000003,True
Q06187,72,0.8574,0.4676,0.7034039334341906,kinase,True,0.38980000000000004,0.8574,0.38980000000000004,False
P11802,71,0.8783,0.8558,0.7533875338753387,kinase,True,0.022499999999999964,0.8783,0.022499999999999964,True
O60885,67,0.7191,0.6031,0.5302545343697608,non-kinase,True,0.11599999999999999,0.7191,0.11599999999999999,True
Q00534,62,0.9181,0.8592,0.835625,non-kinase,True,0.05890000000000006,0.9181,0.05890000000000006,True
Q9UM73,58,0.7552,0.5014,0.7517361111111112,kinase,True,0.2538,0.7552,0.2538,True
P36888,43,0.8765,0.4568,0.716230936819172,kinase,True,0.41969999999999996,0.8765,0.41969999999999996,False
P09874,36,0.8269,0.7263,0.2685185185185185,non-kinase,True,0.10060000000000002,0.8269,0.10060000000000002,True
Q02750,33,0.5226337448559671,0.5556,0.6373626373626374,non-kinase,False,-0.03296625514403284,0.5556,0.03296625514403284,True
P31749,30,0.7733333333333334,0.8453,,kinase,False,-0.07196666666666662,0.8453,0.07196666666666662,True
P31751,30,0.7756410256410255,0.9423,,kinase,False,-0.16665897435897448,0.9423,0.16665897435897448,True
P25440,29,0.6814814814814815,0.8167,0.8157894736842105,non-kinase,False,-0.13521851851851852,0.8167,0.13521851851851852,True
Q07817,29,0.6378205128205128,0.5008,,kinase,True,0.13702051282051275,0.6378205128205128,0.13702051282051275,True
Q9Y243,28,0.6284722222222223,0.9236,,kinase,False,-0.29512777777777766,0.9236,0.29512777777777766,True
Q15059,22,0.7991071428571428,0.686,0.7215099715099716,non-kinase,True,0.11310714285714274,0.7991071428571428,0.11310714285714274,True
Q06124,18,0.875,0.0952,0.7399999999999999,kinase,True,0.7798,0.875,0.7798,False
Q96SW2,17,0.7944444444444446,0.1833,0.1089743589743589,non-kinase,True,0.6111444444444446,0.7944444444444446,0.6111444444444446,False
Q00987,15,0.75,0.4722,,non-kinase,True,0.2778,0.75,0.2778,False
Q05397,15,0.6999999999999998,0.8,,kinase,False,-0.1000000000000002,0.8,0.1000000000000002,True
P24941,14,0.9659863945578232,0.8435,0.9333333333333332,kinase,True,0.12248639455782317,0.9659863945578232,0.12248639455782317,True
Q9Y616,12,1.0,0.6333,0.8055555555555557,kinase,True,0.3667,1.0,0.3667,True
P30291,12,0.8645833333333334,0.4688,,kinase,True,0.3957833333333334,0.8645833333333334,0.3957833333333334,False
O60674,11,1.0,1.0,0.951388888888889,non-kinase,False,0.0,1.0,0.0,True
Q9NYV4,11,1.0,0.5833,0.645224171539961,kinase,True,0.41669999999999996,1.0,0.41669999999999996,True
P11474,10,0.6041666666666667,0.4722,0.6904761904761904,non-kinase,True,0.13196666666666673,0.6041666666666667,0.13196666666666673,False
P12931,10,0.9305555555555556,0.8819,,kinase,True,0.04865555555555556,0.9305555555555556,0.04865555555555556,True
