target,auroc
P10275,0.5129907843874414
P03372,0.6072398577845634
Q06187,0.7129198184568835
P01116,0.7523806527393239
P15056,0.7056885000963948
P51531,0.5971041109381031
P00533,0.7564678649237472
Q9NWZ3,0.814727463312369
P51532,0.6380900508351489
P10636,0.5072358197358198
O60885,0.5542854239699233
P01116/P04049,0.8341452991452992
Q92793,0.8288838612368025
P14902,0.4651072124756335
Q07889,0.2366765971532605
Q92918,0.7718926553672317
Q92793/Q09472,0.9421641791044776
Q09472,0.9064670138888888
P36969,0.7234972677595629
Q13422,0.4560829241680306
P36888,0.7091503267973858
P17706,0.8559027777777778
Q9BY41,0.40671296296296294
P18031,0.9280392156862746
P09874,0.27072310405643735
P36897,0.49914748508098894
Q00534,0.8381250000000001
P11802,0.7528455284552846
P51531/P51532,0.6649029982363316
P50750,0.8078787878787878
Q02750,0.6556776556776557
O15379,1.0
P98170,0.5850168350168351
Q9UBN7,0.41111111111111104
P49336,0.5599078341013825
P43490,0.4773662551440329
Q9UM73,0.7366898148148149
P01116/Q07889,0.46515151515151515
P25440,0.8036437246963563
Q15059,0.7443019943019943
P37840,0.5200892857142857
Q06124,0.6940740740740741
P30530,0.9785353535353535
Q9NYV4,0.6471734892787524
P40337,0.6989583333333332
Q14004,0.5982142857142857
P06239,0.6695906432748538
P40763,0.2829131652661064
P24941,0.8952380952380953
P49840,0.736842105263158
Q9Y2I7,0.43209876543209874
P33981,0.8066666666666666
Q08881,0.5666666666666667
Q93009,0.5256410256410257
P08581,1.0
P15170,0.2756410256410256
Q96SW2,0.04487179487179486
O60674,0.951388888888889
Q9Y616,0.7916666666666666
Q5S007,0.9499999999999998
O75530,0.4666666666666666
Q16539,0.9351851851851852
P11474,0.6190476190476191
O43924,0.5185185185185185
O60760,0.7301587301587302
