target,n,auroc,rate,per_seed
P10275,1482,0.5191012819129163,0.7179487347602844,"[0.5372499730186711, 0.554016620498615, 0.4660372522214627]"
P03372,1278,0.4307358140738185,0.6510171890258789,"[0.4049375862366333, 0.43495601931700584, 0.4523138366678165]"
P01116,562,0.5627287935749518,0.7811387777328491,"[0.6075152323277219, 0.5053243698724004, 0.5753467785247328]"
P15056,472,0.5388845569828047,0.875,"[0.518857471170025, 0.5507858989617105, 0.5470103008166783]"
P00533,317,0.5693217893217893,0.8675078749656677,"[0.6192207792207792, 0.5069264069264069, 0.5818181818181818]"
Q9NWZ3,297,0.7509565350474441,0.8888888955116272,"[0.8365472910927456, 0.6542699724517906, 0.7620523415977961]"
P51531,231,0.3910825425976941,0.8571428656578064,"[0.3443526170798898, 0.29843893480257117, 0.5304560759106213]"
P51532,216,0.6223958333333334,0.48148149251937866,"[0.6222527472527472, 0.6662087912087913, 0.5787259615384616]"
P10636,204,0.4538788377192982,0.37254902720451355,"[0.45703125, 0.42578125, 0.4788240131578947]"
O60885,114,0.5762798809890223,0.5,"[0.5475530932594646, 0.6540473991997537, 0.5272391505078485]"
Q92793,81,0.5125000000000001,0.8024691343307495,"[0.47115384615384615, 0.5865384615384616, 0.4798076923076923]"
Q92918,80,0.5850495804729214,0.7124999761581421,"[0.7452326468344775, 0.547673531655225, 0.46224256292906174]"
P14902,58,0.44900284900284904,0.22413793206214905,"[0.4683760683760684, 0.36581196581196584, 0.5128205128205128]"
Q9BY41,58,0.6135912698412698,0.27586206793785095,"[0.6517857142857143, 0.6651785714285714, 0.5238095238095238]"
P36897,57,0.5912190963341858,0.4035087823867798,"[0.5268542199488491, 0.5805626598465473, 0.6662404092071612]"
Q07889,51,0.5428571428571428,0.5882353186607361,"[0.4158730158730159, 0.5920634920634921, 0.6206349206349207]"
Q09472,43,0.6641025641025641,0.6976743936538696,"[0.5487179487179488, 0.6717948717948717, 0.7717948717948718]"
P17706,43,0.5784313725490196,0.604651153087616,"[0.6583710407239819, 0.5135746606334841, 0.5633484162895928]"
P36888,39,0.4084362139917695,0.692307710647583,"[0.25, 0.5092592592592593, 0.46604938271604934]"
Q00534,33,0.6080246913580246,0.7272727489471436,"[0.6296296296296295, 0.6018518518518519, 0.5925925925925927]"
P09874,33,0.6810699588477367,0.1818181872367859,"[0.6419753086419753, 0.7839506172839508, 0.617283950617284]"
P50750,32,0.7195767195767195,0.5625,"[0.6428571428571429, 0.7658730158730158, 0.75]"
Q9UBN7,31,0.4666666666666666,0.6451612710952759,"[0.5181818181818182, 0.5909090909090909, 0.2909090909090909]"
P18031,30,0.5725677830940988,0.6333333253860474,"[0.37320574162679426, 0.6602870813397129, 0.6842105263157894]"
O15379,27,0.5781893004115225,0.3333333432674408,"[0.5246913580246912, 0.6975308641975309, 0.5123456790123456]"
P11802,26,0.5363408521303258,0.26923078298568726,"[0.5488721804511278, 0.5112781954887218, 0.5488721804511278]"
P06239,25,0.3684210526315789,0.7599999904632568,"[0.21052631578947367, 0.5701754385964912, 0.32456140350877194]"
P40763,22,0.5238095238095238,0.3181818127632141,"[0.5428571428571429, 0.36190476190476195, 0.6666666666666666]"
P43490,20,0.48809523809523814,0.30000001192092896,"[0.4642857142857143, 0.5238095238095238, 0.4761904761904762]"
P36969,19,0.7722222222222223,0.21052631735801697,"[0.8166666666666667, 0.6666666666666667, 0.8333333333333334]"
Q9UM73,18,0.5238095238095238,0.2222222238779068,"[0.7321428571428571, 0.0892857142857143, 0.75]"
P24941,17,0.7571428571428571,0.4117647111415863,"[0.9857142857142858, 0.9857142857142858, 0.29999999999999993]"
P15170,17,0.6666666666666666,0.23529411852359772,"[0.8076923076923077, 0.6730769230769231, 0.5192307692307692]"
P33981,16,0.48333333333333334,0.625,"[0.4833333333333333, 0.55, 0.41666666666666674]"
Q14004,15,0.5802469135802469,0.4000000059604645,"[0.6111111111111112, 0.5185185185185185, 0.6111111111111112]"
