target,auroc,n_test
O15379,0.9939,43
O43924,1.0,10
O60674,0.875,14
O60760,0.9048,10
O60885,0.5514,162
O75530,0.8571,12
P00533,0.8337,402
P01116,0.6116,722
P01116/P04049,0.7229,139
P01116/Q07889,0.5682,32
P03372,0.5147,1291
P06239,0.5439,25
P08581,1.0,17
P09874,0.2235,57
P10275,0.5466,1968
P10636,0.6008,210
P11474,0.6429,11
P11802,0.7951,56
P14902,0.3725,109
P15056,0.6965,606
P15170,0.3269,17
P17706,0.8663,68
P18031,0.9676,59
P24941,0.419,22
P25440,0.6255,32
P30530,0.8977,28
P33981,0.86,20
P36888,0.8505,70
P36897,0.468,57
P36969,0.4033,76
P37840,0.7969,30
P40337,0.8219,26
P40763,0.4286,24
P43490,0.7006,36
P49336,0.4539,38
P49840,0.9474,22
P50750,0.8145,47
P51531,0.5116,432
P51531/P51532,0.7196,48
P51532,0.5504,271
P98170,0.5379,39
Q00534,0.8181,57
Q02750,0.6813,46
Q06124,0.7844,30
Q06187,0.64,761
Q07889,0.6152,91
Q08881,0.7714,19
Q09472,0.946,80
Q14004,0.6042,26
Q15059,0.9209,31
Q16539,0.9444,12
Q5S007,0.95,13
Q92793,0.8717,111
Q92793/Q09472,0.9403,83
Q92918,0.803,91
Q93009,0.6538,19
Q96SW2,0.1923,17
Q9BY41,0.741,61
Q9NWZ3,0.7867,313
Q9NYV4,0.9181,28
Q9UBN7,0.5139,39
Q9UM73,0.8351,34
Q9Y2I7,0.7963,21
Q9Y616,1.0,14
