target,protein_name,family,family_size_in_training,loto_auroc,lofo_auroc,delta
Q96SW2,OLIG2,Transcription Factor,2,0.109,0.0385,0.0705
P15170,GSPT1/eRF3a,Translation Factor,0,0.2051,0.2692,-0.0641
Q07889,PTPN11/SHP2,Phosphatase,3,0.2388,0.3568,-0.118
P09874,PARP1,DNA Repair,0,0.2685,0.3161,-0.0476
P40763,STAT3,Transcription Factor,2,0.3165,0.6134,-0.2969
Q9BY41,HDAC8,HDAC,2,0.3928,0.3479,0.0449
Q9UBN7,HDAC6,HDAC,2,0.4065,0.7444,-0.3379
P14902,IDO1,Enzyme,3,0.4216,0.4234,-0.0018
O75530,EED,Chromatin Remodeling,0,0.4476,0.5429,-0.0953
Q9Y2I7,FKBP5,Immunophilin,0,0.4568,0.2778,0.179
P01116/Q07889,KRAS-SHP2 combo,RAS GTPase,2,0.4606,0.4636,-0.003
P43490,NAMPT,Enzyme,3,0.4805,0.571,-0.0905
P37840,Alpha-synuclein/SNCA,Intrinsically Disordered,0,0.4978,0.4799,0.0179
P36897,TGFBR1/ALK5,Kinase,23,0.4996,0.4923,0.0073
Q13422,IKZF1/IKAROS,Transcription Factor,2,0.4752,0.5041,-0.0289
P10636,MAPT/Tau,Microtubule-Associated,0,0.5091,0.5009,0.0082
P10275,AR,Nuclear Receptor,2,0.5275,0.4451,0.0824
O60885,BRD4,Bromodomain,8,0.5303,0.5395,-0.0092
Q93009,USP7,Deubiquitinase,0,0.5342,0.641,-0.1068
P49336,CDK8,Kinase,23,0.5614,0.6889,-0.1275
P98170,XIAP,E3 Ligase/Apoptosis,0,0.5699,0.5025,0.0674
Q08881,ITK,Kinase,23,0.5714,0.6571,-0.0857
P51531,SMARCA2,Bromodomain,8,0.5926,0.5792,0.0134
P03372,ERalpha/ESR1,Nuclear Receptor,2,0.5929,0.5336,0.0593
Q14004,DCAF15,E3 Ligase Component,2,0.5982,0.7054,-0.1072
P51532,SMARCA4,Bromodomain,8,0.6344,0.6226,0.0118
Q02750,MAP2K1/MEK1,Kinase,23,0.6374,0.6081,0.0293
Q9NYV4,DCAF16,E3 Ligase Component,2,0.6452,0.731,-0.0858
P33981,TTK,Kinase,23,0.65,0.5,0.15
P51531/P51532,SMARCA2/4,Bromodomain,8,0.6755,0.5644,0.1111
P06239,LCK,Kinase,23,0.6842,0.5614,0.1228
P11474,ESRRG/ERR-gamma,Nuclear Receptor,2,0.6905,0.3929,0.2976
Q06187,BTK,Kinase,23,0.7034,0.6807,0.0227
P15056,BRAF,Kinase,23,0.7144,0.6553,0.0591
P36888,FLT3,Kinase,23,0.7162,0.5359,0.1803
Q15059,BRD3,Bromodomain,8,0.7215,0.3355,0.386
P01116,KRAS,RAS GTPase,2,0.7275,0.6318,0.0957
P40337,VHL,E3 Ligase Component,2,0.7344,0.5344,0.2
Q06124,PTPN6/SHP-1,Phosphatase,3,0.74,0.6956,0.0444
Q9UM73,ALK,Kinase,23,0.7517,0.776,-0.0243
P11802,CDK4,Kinase,23,0.7534,0.5512,0.2022
P00533,EGFR,Kinase,23,0.7612,0.7228,0.0384
P49840,GSK3A,Kinase,23,0.7719,0.6316,0.1403
P36969,GPX4,Enzyme,3,0.7749,0.5377,0.2372
Q92918,HASPIN/GSG2,Kinase,23,0.7754,0.6695,0.1059
O60760,HIF1AN/FIH,Enzyme,3,0.7778,0.8571,-0.0793
Q9Y616,IFIT3,Other,0,0.8056,0.7083,0.0973
Q9NWZ3,IRAK4,Kinase,23,0.8132,0.702,0.1112
P50750,CDK9,Kinase,23,0.8139,0.5564,0.2575
P25440,BRD2,Bromodomain,8,0.8158,0.5607,0.2551
Q92793,CREBBP/CBP,Bromodomain,8,0.8257,0.4389,0.3868
Q00534,CDK6,Kinase,23,0.8356,0.3794,0.4562
P01116/P04049,KRAS-RAF1 combo,RAS GTPase,2,0.8362,0.4497,0.3865
P17706,PTPN2/TC-PTP,Phosphatase,3,0.8565,0.7135,0.143
O43924,HASPIN,Kinase,23,0.8889,0.8889,0.0
Q09472,EP300,Bromodomain,8,0.9056,0.39,0.5156
Q5S007,LRRK2,Kinase,23,0.9167,0.95,-0.0333
P18031,PTP1B/PTPN1,Phosphatase,3,0.9316,0.7512,0.1804
P24941,CDK2,Kinase,23,0.9333,0.1524,0.7809
Q92793/Q09472,CREBBP/EP300,Bromodomain,8,0.9387,0.2565,0.6822
Q16539,MAPK14/p38a,Kinase,23,0.9444,0.3889,0.5555
O60674,JAK2,Kinase,23,0.9514,1.0,-0.0486
P30530,AXL,Kinase,23,0.976,0.4583,0.5177
P08581,MET,Kinase,23,0.9889,0.65,0.3389
O15379,HDAC3,HDAC,2,1.0,0.8606,0.1394
