target,n_entries,pct_within_10A,median_dist,pocket_quality
O15379,27,100.0,5.1,high
O60674,10,100.0,4.4,high
O60760,1,100.0,2.1,low_confidence
O60885,114,100.0,3.6,high
O75530,12,91.7,4.1,low_confidence
P00533,317,100.0,2.6,high
P01116,562,100.0,2.2,high
P03372,1278,100.0,2.7,high
P06239,25,100.0,5.2,high
P08581,13,100.0,7.2,high
P09874,33,100.0,5.3,high
P10275,1482,100.0,5.2,high
P10636,204,17.6,12.5,low_confidence
P11474,1,100.0,1.9,low_confidence
P11802,26,65.4,8.8,low_confidence
P14902,58,100.0,4.3,high
P15056,472,100.0,6.7,high
P15170,17,17.6,10.2,low_confidence
P17706,43,20.9,13.2,low_confidence
P18031,30,100.0,0.9,high
P24941,17,100.0,4.1,high
P25440,14,100.0,1.7,high
P30530,10,100.0,5.8,high
P33981,16,100.0,7.0,high
P36888,39,97.4,5.1,high
P36897,57,100.0,1.7,high
P36969,19,0.0,14.2,low_confidence
P37840,15,100.0,6.2,low_confidence
P40763,22,100.0,7.5,high
P43490,20,100.0,1.4,high
P49336,10,100.0,1.3,high
P49840,4,100.0,4.3,high
P50750,32,100.0,4.2,high
P51531,231,100.0,5.5,high
P51532,216,100.0,3.7,high
P98170,9,66.7,8.3,low_confidence
Q00534,33,100.0,4.5,high
Q02750,11,100.0,4.1,high
Q06187,642,99.8,5.9,high
Q07889,51,100.0,3.8,high
Q08881,10,100.0,3.9,high
Q09472,44,93.2,3.7,high
Q14004,15,100.0,4.7,high
Q15059,11,100.0,5.9,high
Q16539,1,100.0,2.7,high
Q5S007,7,71.4,9.4,low_confidence
Q92793,81,51.9,9.9,low_confidence
Q92918,80,100.0,3.1,high
Q93009,4,100.0,5.1,high
Q96SW2,5,20.0,11.3,low_confidence
Q9BY41,58,87.9,2.7,high
Q9NWZ3,297,100.0,3.4,high
Q9NYV4,3,100.0,7.2,high
Q9UBN7,31,100.0,4.3,high
Q9UM73,18,100.0,3.3,high
Q9Y2I7,1,100.0,5.7,low_confidence
Q9Y616,14,85.7,5.7,low_confidence
