target,seed,n,auroc
P10275,42,1968,0.5157038954278609
P03372,42,1291,0.598434004474273
Q06187,42,761,0.7334871406959154
P01116,42,722,0.7583270408591325
P15056,42,606,0.7136169751301331
P51531,42,432,0.6250249530881942
P00533,42,402,0.7417960239651415
Q9NWZ3,42,313,0.8467767295597485
P51532,42,271,0.6398420479302833
P10636,42,210,0.48101204351204346
O60885,42,162,0.5433622923334858
P01116/P04049,42,139,0.8362820512820512
Q92793,42,111,0.8323529411764706
P14902,42,109,0.4461988304093566
Q07889,42,91,0.2413108242303873
Q92918,42,91,0.7674788135593221
Q92793/Q09472,42,83,0.9384328358208955
Q09472,42,80,0.9225260416666667
P36969,42,76,0.7387978142076503
Q13422,42,73,0.4402618657937807
P36888,42,70,0.7107843137254902
P17706,42,68,0.8502604166666666
Q9BY41,42,61,0.3770833333333333
P18031,42,59,0.9288235294117647
P09874,42,57,0.2777777777777778
P36897,42,57,0.5792838874680307
Q00534,42,57,0.8400000000000001
P11802,42,56,0.7577235772357723
P51531/P51532,42,48,0.6666666666666667
P50750,42,47,0.7781818181818182
Q02750,42,46,0.6666666666666666
O15379,42,43,1.0
P98170,42,39,0.5757575757575758
Q9UBN7,42,39,0.3458333333333333
P49336,42,38,0.5737327188940092
P43490,42,36,0.3873456790123457
Q9UM73,42,34,0.7604166666666666
P01116/Q07889,42,32,0.44999999999999996
P25440,42,32,0.8421052631578947
Q15059,42,31,0.7350427350427351
P37840,42,30,0.4933035714285714
Q06124,42,30,0.7377777777777778
P30530,42,28,0.9772727272727273
Q9NYV4,42,28,0.6491228070175439
P40337,42,26,0.825
Q14004,42,26,0.625
P06239,42,25,0.6929824561403508
P40763,42,24,0.3529411764705882
P24941,42,22,0.9333333333333333
P49840,42,22,0.7368421052631579
Q9Y2I7,42,21,0.6296296296296297
P33981,42,20,0.685
Q08881,42,19,0.5285714285714286
Q93009,42,19,0.6153846153846154
P08581,42,17,1.0
P15170,42,17,0.40384615384615385
Q96SW2,42,17,0.11538461538461539
O60674,42,14,0.9583333333333334
Q9Y616,42,14,0.7083333333333333
Q5S007,42,13,0.85
O75530,42,12,0.4428571428571429
Q16539,42,12,0.9166666666666667
P11474,42,11,0.7142857142857143
O43924,42,10,0.8888888888888888
O60760,42,10,0.7142857142857143
P10275,43,1968,0.500615257815437
P03372,43,1291,0.6021369424387968
Q06187,43,761,0.7433585476550681
P01116,43,722,0.7548871549626647
P15056,43,606,0.724605986119144
P51531,43,432,0.6212720086237873
P00533,43,402,0.764161220043573
Q9NWZ3,43,313,0.8598270440251573
P51532,43,271,0.640495642701525
P10636,43,210,0.45177738927738925
O60885,43,162,0.544276787075141
P01116/P04049,43,139,0.8408974358974359
Q92793,43,111,0.8187782805429865
P14902,43,109,0.4058479532163742
Q07889,43,91,0.253227408142999
Q92918,43,91,0.7738347457627119
Q92793/Q09472,43,83,0.9384328358208955
Q09472,43,80,0.9075520833333334
P36969,43,76,0.6983606557377049
Q13422,43,73,0.4754500818330605
P36888,43,70,0.7205882352941176
P17706,43,68,0.8472222222222222
Q9BY41,43,61,0.39513888888888893
P18031,43,59,0.9229411764705882
P09874,43,57,0.30026455026455023
P36897,43,57,0.520460358056266
Q00534,43,57,0.845625
P11802,43,56,0.7528455284552845
P51531/P51532,43,48,0.6684303350970018
P50750,43,47,0.8127272727272727
Q02750,43,46,0.6263736263736264
O15379,43,43,1.0
P98170,43,39,0.5909090909090909
Q9UBN7,43,39,0.3666666666666667
P49336,43,38,0.564516129032258
P43490,43,36,0.4737654320987654
Q9UM73,43,34,0.6388888888888888
P01116/Q07889,43,32,0.4636363636363636
P25440,43,32,0.8056680161943319
Q15059,43,31,0.7264957264957266
P37840,43,30,0.515625
Q06124,43,30,0.72
P30530,43,28,0.9848484848484849
Q9NYV4,43,28,0.6549707602339181
P40337,43,26,0.80625
Q14004,43,26,0.6071428571428571
P06239,43,25,0.6842105263157895
P40763,43,24,0.31932773109243695
P24941,43,22,0.8761904761904762
P49840,43,22,0.8947368421052632
Q9Y2I7,43,21,0.24074074074074076
P33981,43,20,0.7250000000000001
Q08881,43,19,0.5428571428571428
Q93009,43,19,0.5512820512820513
P08581,43,17,0.9833333333333333
P15170,43,17,0.34615384615384615
Q96SW2,43,17,0.1346153846153846
O60674,43,14,0.9375
Q9Y616,43,14,0.75
Q5S007,43,13,0.95
O75530,43,12,0.4
Q16539,43,12,0.9166666666666667
P11474,43,11,0.75
O43924,43,10,0.11111111111111116
O60760,43,10,0.7619047619047619
P10275,44,1968,0.5243131669510397
P03372,44,1291,0.6027174316401073
Q06187,44,761,0.7406202723146746
P01116,44,722,0.7646614648879939
P15056,44,606,0.7083212839791787
P51531,44,432,0.6354852876592008
P00533,44,402,0.7508850762527234
Q9NWZ3,44,313,0.8580974842767295
P51532,44,271,0.6468409586056645
P10636,44,210,0.5082070707070706
O60885,44,162,0.5390184423106235
P01116/P04049,44,139,0.832948717948718
Q92793,44,111,0.8269230769230769
P14902,44,109,0.42923976608187125
Q07889,44,91,0.2209533267130089
Q92918,44,91,0.802436440677966
Q92793/Q09472,44,83,0.9402985074626866
Q09472,44,80,0.919921875
P36969,44,76,0.8076502732240437
Q13422,44,73,0.48690671031096566
P36888,44,70,0.7271241830065359
P17706,44,68,0.8459201388888888
Q9BY41,44,61,0.4173611111111111
P18031,44,59,0.9229411764705883
P09874,44,57,0.26190476190476186
P36897,44,57,0.5524296675191815
Q00534,44,57,0.83
P11802,44,56,0.743089430894309
P51531/P51532,44,48,0.6719576719576719
P50750,44,47,0.7945454545454544
Q02750,44,46,0.6336996336996336
O15379,44,43,0.996969696969697
P98170,44,39,0.5757575757575758
Q9UBN7,44,39,0.41805555555555557
P49336,44,38,0.6566820276497696
P43490,44,36,0.3734567901234568
Q9UM73,44,34,0.6024305555555556
P01116/Q07889,44,32,0.4681818181818182
P25440,44,32,0.8218623481781376
Q15059,44,31,0.7478632478632479
P37840,44,30,0.5022321428571428
Q06124,44,30,0.7155555555555556
P30530,44,28,0.9848484848484849
Q9NYV4,44,28,0.6549707602339181
P40337,44,26,0.8125
Q14004,44,26,0.6130952380952381
P06239,44,25,0.5614035087719298
P40763,44,24,0.36134453781512604
P24941,44,22,0.9333333333333333
P49840,44,22,0.6315789473684211
Q9Y2I7,44,21,0.37037037037037035
P33981,44,20,0.8849999999999999
Q08881,44,19,0.5857142857142857
Q93009,44,19,0.7051282051282051
P08581,44,17,1.0
P15170,44,17,0.5
Q96SW2,44,17,0.1923076923076923
O60674,44,14,0.9583333333333334
Q9Y616,44,14,0.5833333333333333
Q5S007,44,13,0.7833333333333333
O75530,44,12,0.35714285714285715
Q16539,44,12,0.9166666666666667
P11474,44,11,0.6428571428571429
O43924,44,10,0.8888888888888888
O60760,44,10,0.7142857142857143
