target,auroc
P10275,0.840442942680745
P03372,0.8317332228887494
Q06187,0.8003320880033208
P01116,0.8606322452172676
P15056,0.7528651100079671
P51531,0.6725107870446229
P00533,0.8093181658591391
Q9NWZ3,0.8687807396538139
P51532,0.688327962764053
P10636,0.6795183982683982
O60885,0.6601211727794006
P01116/P04049,0.8360731865886505
Q92793,0.8562838753387534
P14902,0.5765503875968992
Q07889,0.41962962962962963
Q92918,0.8736111111111112
Q92793/Q09472,0.9425044091710758
Q09472,0.94
P36969,0.8538011695906432
Q13422,0.6427906976744185
P36888,0.743371212121212
P17706,0.8478114478114479
Q9BY41,0.502981029810298
P18031,0.9364188873305282
P09874,0.7999999999999999
P36897,0.5724526369687659
Q00534,0.8409090909090908
P11802,0.7361647361647362
P51531/P51532,0.7044444444444444
P50750,0.756060606060606
Q02750,0.6825396825396824
O15379,1.0
P98170,0.6
Q9UBN7,0.5927960927960928
P49336,0.52880658436214
P43490,0.4986111111111111
Q9UM73,0.8653846153846154
P01116/Q07889,0.4465020576131687
P25440,0.8446969696969697
Q15059,0.8343434343434345
P37840,0.6493506493506493
Q06124,0.705128205128205
P30530,0.9814814814814815
Q9NYV4,0.8065476190476191
P40337,0.7407407407407408
Q14004,0.7848484848484848
P06239,0.5677083333333334
P40763,0.23931623931623927
P24941,0.8131313131313131
P49840,1.0
Q9Y2I7,0.869047619047619
P33981,0.7857142857142857
Q08881,0.6565656565656566
Q93009,0.5407407407407407
P08581,1.0
P15170,0.6049382716049383
Q96SW2,0.19753086419753085
O60674,0.9833333333333334
Q9Y616,1.0
Q5S007,0.888888888888889
O75530,0.5694444444444445
Q16539,0.9722222222222223
P11474,0.5185185185185185
O43924,0.5
O60760,0.8333333333333334
