seed,target,auroc
7,P10275,0.8292
7,P03372,0.8062
7,Q06187,0.8113
7,P01116,0.8601
7,P15056,0.7454
7,P51531,0.6561
7,P00533,0.8047
7,Q9NWZ3,0.8654
7,P51532,0.6689
7,P10636,0.7121
7,O60885,0.6293
7,P01116/P04049,0.8351
7,Q92793,0.8505
7,P14902,0.5865
7,Q07889,0.3198
7,Q92918,0.8761
7,Q92793/Q09472,0.9384
7,Q09472,0.9414
7,P36969,0.8426
7,Q13422,0.5548
7,P36888,0.759
7,P17706,0.8533
7,Q9BY41,0.4653
7,P18031,0.9471
7,P09874,0.664
7,P36897,0.5831
7,Q00534,0.835
7,P11802,0.7252
7,P51531/P51532,0.7002
7,P50750,0.7727
7,Q02750,0.5714
7,O15379,1.0
7,P98170,0.5556
7,Q9UBN7,0.5153
7,P49336,0.424
7,P43490,0.4568
7,Q9UM73,0.8438
7,P01116/Q07889,0.4591
7,P25440,0.9028
7,Q15059,0.7991
7,P37840,0.4821
7,Q06124,0.6622
7,P30530,0.9545
7,Q9NYV4,0.8363
7,P40337,0.7938
7,Q14004,0.75
7,P06239,0.7632
7,P40763,0.1429
7,P24941,0.9333
7,P49840,0.9649
7,Q9Y2I7,0.7222
7,P33981,0.84
7,Q08881,0.5857
7,Q93009,0.6538
7,P08581,1.0
7,P15170,0.25
7,Q96SW2,0.0769
7,O60674,0.9375
7,Q9Y616,0.7917
7,Q5S007,0.9
7,O75530,0.5143
7,Q16539,0.9167
7,P11474,0.3571
7,O43924,0.8889
7,O60760,0.8571
13,P10275,0.8009
13,P03372,0.8113
13,Q06187,0.7795
13,P01116,0.8572
13,P15056,0.7505
13,P51531,0.647
13,P00533,0.7942
13,Q9NWZ3,0.8329
13,P51532,0.6643
13,P10636,0.7069
13,O60885,0.6158
13,P01116/P04049,0.849
13,Q92793,0.8459
13,P14902,0.531
13,Q07889,0.3029
13,Q92918,0.8506
13,Q92793/Q09472,0.9375
13,Q09472,0.9375
13,P36969,0.7847
13,Q13422,0.5548
13,P36888,0.7402
13,P17706,0.8628
13,Q9BY41,0.4611
13,P18031,0.9365
13,P09874,0.5714
13,P36897,0.5563
13,Q00534,0.8588
13,P11802,0.6992
13,P51531/P51532,0.6878
13,P50750,0.7618
13,Q02750,0.5751
13,O15379,1.0
13,P98170,0.601
13,Q9UBN7,0.5694
13,P49336,0.4885
13,P43490,0.5062
13,Q9UM73,0.816
13,P01116/Q07889,0.4091
13,P25440,0.8543
13,Q15059,0.7906
13,P37840,0.442
13,Q06124,0.68
13,P30530,0.9848
13,Q9NYV4,0.8655
13,P40337,0.725
13,Q14004,0.7143
13,P06239,0.5965
13,P40763,0.1765
13,P24941,0.8762
13,P49840,0.9825
13,Q9Y2I7,0.7222
13,P33981,0.84
13,Q08881,0.5571
13,Q93009,0.5641
13,P08581,0.9833
13,P15170,0.5962
13,Q96SW2,0.1154
13,O60674,0.9583
13,Q9Y616,0.8333
13,Q5S007,0.9
13,O75530,0.4286
13,Q16539,0.9444
13,P11474,0.3214
13,O43924,1.0
13,O60760,0.9048
29,P10275,0.8194
29,P03372,0.8361
29,Q06187,0.8062
29,P01116,0.8516
29,P15056,0.7537
29,P51531,0.6525
29,P00533,0.8003
29,Q9NWZ3,0.8367
29,P51532,0.6745
29,P10636,0.7203
29,O60885,0.6661
29,P01116/P04049,0.8408
29,Q92793,0.8538
29,P14902,0.5889
29,Q07889,0.3083
29,Q92918,0.8782
29,Q92793/Q09472,0.9356
29,Q09472,0.9434
29,P36969,0.8383
29,Q13422,0.5663
29,P36888,0.7173
29,P17706,0.8594
29,Q9BY41,0.4389
29,P18031,0.9412
29,P09874,0.5847
29,P36897,0.5473
29,Q00534,0.8425
29,P11802,0.7301
29,P51531/P51532,0.672
29,P50750,0.82
29,Q02750,0.5934
29,O15379,1.0
29,P98170,0.5909
29,Q9UBN7,0.4792
29,P49336,0.4101
29,P43490,0.6296
29,Q9UM73,0.8333
29,P01116/Q07889,0.4364
29,P25440,0.8866
29,Q15059,0.7821
29,P37840,0.5402
29,Q06124,0.7378
29,P30530,0.9621
29,Q9NYV4,0.8012
29,P40337,0.7437
29,Q14004,0.7083
29,P06239,0.4561
29,P40763,0.4034
29,P24941,0.9333
29,P49840,0.9649
29,Q9Y2I7,0.537
29,P33981,0.76
29,Q08881,0.6143
29,Q93009,0.5769
29,P08581,1.0
29,P15170,0.7115
29,Q96SW2,0.1923
29,O60674,0.9375
29,Q9Y616,0.875
29,Q5S007,0.9
29,O75530,0.5143
29,Q16539,0.9167
29,P11474,0.3929
29,O43924,1.0
29,O60760,0.9048
42,P10275,0.8372
42,P03372,0.8175
42,Q06187,0.7893
42,P01116,0.8425
42,P15056,0.7318
42,P51531,0.6528
42,P00533,0.784
42,Q9NWZ3,0.86
42,P51532,0.6673
42,P10636,0.7159
42,O60885,0.6459
42,P01116/P04049,0.8382
42,Q92793,0.8545
42,P14902,0.5579
42,Q07889,0.3153
42,Q92918,0.875
42,Q92793/Q09472,0.9412
42,Q09472,0.9427
42,P36969,0.776
42,Q13422,0.5876
42,P36888,0.7173
42,P17706,0.8585
42,Q9BY41,0.5194
42,P18031,0.9341
42,P09874,0.6772
42,P36897,0.5345
42,Q00534,0.84
42,P11802,0.7106
42,P51531/P51532,0.6649
42,P50750,0.7691
42,Q02750,0.5714
42,O15379,1.0
42,P98170,0.5278
42,Q9UBN7,0.5056
42,P49336,0.5622
42,P43490,0.571
42,Q9UM73,0.8264
42,P01116/Q07889,0.4591
42,P25440,0.8947
42,Q15059,0.7863
42,P37840,0.5179
42,Q06124,0.6622
42,P30530,0.9545
42,Q9NYV4,0.8363
42,P40337,0.7125
42,Q14004,0.6726
42,P06239,0.4912
42,P40763,0.3193
42,P24941,0.7619
42,P49840,1.0
42,Q9Y2I7,0.6111
42,P33981,0.64
42,Q08881,0.5429
42,Q93009,0.4615
42,P08581,0.9833
42,P15170,0.4808
42,Q96SW2,0.0192
42,O60674,1.0
42,Q9Y616,0.9583
42,Q5S007,0.8
42,O75530,0.5143
42,Q16539,0.9167
42,P11474,0.25
42,O43924,0.8889
42,O60760,0.8095
43,P10275,0.8128
43,P03372,0.8245
43,Q06187,0.8125
43,P01116,0.8551
43,P15056,0.752
43,P51531,0.6723
43,P00533,0.8146
43,Q9NWZ3,0.8778
43,P51532,0.6708
43,P10636,0.6889
43,O60885,0.6225
43,P01116/P04049,0.8336
43,Q92793,0.8575
43,P14902,0.6199
43,Q07889,0.3108
43,Q92918,0.8522
43,Q92793/Q09472,0.9366
43,Q09472,0.9434
43,P36969,0.8077
43,Q13422,0.5589
43,P36888,0.7565
43,P17706,0.8589
43,Q9BY41,0.4361
43,P18031,0.9376
43,P09874,0.4722
43,P36897,0.5985
43,Q00534,0.8462
43,P11802,0.7415
43,P51531/P51532,0.7231
43,P50750,0.7964
43,Q02750,0.5714
43,O15379,1.0
43,P98170,0.5732
43,Q9UBN7,0.4778
43,P49336,0.4286
43,P43490,0.5741
43,Q9UM73,0.9097
43,P01116/Q07889,0.4636
43,P25440,0.8543
43,Q15059,0.7735
43,P37840,0.5357
43,Q06124,0.76
43,P30530,0.9697
43,Q9NYV4,0.8538
43,P40337,0.7688
43,Q14004,0.7083
43,P06239,0.5439
43,P40763,0.4034
43,P24941,0.9333
43,P49840,1.0
43,Q9Y2I7,0.2037
43,P33981,0.7
43,Q08881,0.6143
43,Q93009,0.5897
43,P08581,1.0
43,P15170,0.7308
43,Q96SW2,0.2308
43,O60674,0.9375
43,Q9Y616,0.7917
43,Q5S007,0.9
43,O75530,0.4286
43,Q16539,0.9167
43,P11474,0.7143
43,O43924,0.7778
43,O60760,0.8571
44,P10275,0.8011
44,P03372,0.8308
44,Q06187,0.7964
44,P01116,0.8536
44,P15056,0.7581
44,P51531,0.661
44,P00533,0.7921
44,Q9NWZ3,0.8116
44,P51532,0.6586
44,P10636,0.6988
44,O60885,0.6287
44,P01116/P04049,0.8518
44,Q92793,0.8611
44,P14902,0.5743
44,Q07889,0.3371
44,Q92918,0.8528
44,Q92793/Q09472,0.9412
44,Q09472,0.9427
44,P36969,0.8197
44,Q13422,0.572
44,P36888,0.634
44,P17706,0.862
44,Q9BY41,0.5097
44,P18031,0.9188
44,P09874,0.537
44,P36897,0.4808
44,Q00534,0.84
44,P11802,0.7041
44,P51531/P51532,0.6949
44,P50750,0.8036
44,Q02750,0.5824
44,O15379,1.0
44,P98170,0.5556
44,Q9UBN7,0.5667
44,P49336,0.6313
44,P43490,0.534
44,Q9UM73,0.8507
44,P01116/Q07889,0.3909
44,P25440,0.8381
44,Q15059,0.7863
44,P37840,0.5268
44,Q06124,0.7156
44,P30530,0.9621
44,Q9NYV4,0.7895
44,P40337,0.75
44,Q14004,0.7083
44,P06239,0.6316
44,P40763,0.1345
44,P24941,0.8762
44,P49840,1.0
44,Q9Y2I7,0.5556
44,P33981,0.79
44,Q08881,0.5571
44,Q93009,0.6154
44,P08581,1.0
44,P15170,0.4615
44,Q96SW2,0.0962
44,O60674,0.9583
44,Q9Y616,0.8333
44,Q5S007,0.9
44,O75530,0.5429
44,Q16539,0.9167
44,P11474,0.4643
44,O43924,0.8889
44,O60760,0.8095
53,P10275,0.8525
53,P03372,0.8285
53,Q06187,0.8053
53,P01116,0.8653
53,P15056,0.7597
53,P51531,0.6464
53,P00533,0.7857
53,Q9NWZ3,0.815
53,P51532,0.6643
53,P10636,0.6872
53,O60885,0.6373
53,P01116/P04049,0.8238
53,Q92793,0.8566
53,P14902,0.5725
53,Q07889,0.3575
53,Q92918,0.8814
53,Q92793/Q09472,0.9375
53,Q09472,0.9421
53,P36969,0.8361
53,Q13422,0.6178
53,P36888,0.7296
53,P17706,0.8689
53,Q9BY41,0.4569
53,P18031,0.9447
53,P09874,0.6455
53,P36897,0.5678
53,Q00534,0.8412
53,P11802,0.6943
53,P51531/P51532,0.7125
53,P50750,0.7909
53,Q02750,0.6557
53,O15379,1.0
53,P98170,0.5808
53,Q9UBN7,0.5681
53,P49336,0.4839
53,P43490,0.5864
53,Q9UM73,0.8264
53,P01116/Q07889,0.5136
53,P25440,0.8866
53,Q15059,0.7906
53,P37840,0.4375
53,Q06124,0.6756
53,P30530,0.9697
53,Q9NYV4,0.8596
53,P40337,0.7813
53,Q14004,0.7202
53,P06239,0.6053
53,P40763,0.2017
53,P24941,0.8762
53,P49840,1.0
53,Q9Y2I7,0.6296
53,P33981,0.62
53,Q08881,0.6143
53,Q93009,0.5769
53,P08581,1.0
53,P15170,0.1346
53,Q96SW2,0.2308
53,O60674,0.9375
53,Q9Y616,0.9167
53,Q5S007,0.9
53,O75530,0.4286
53,Q16539,0.9167
53,P11474,0.3571
53,O43924,0.8889
53,O60760,0.7619
71,P10275,0.8195
71,P03372,0.8326
71,Q06187,0.8051
71,P01116,0.8573
71,P15056,0.7615
71,P51531,0.6599
71,P00533,0.7865
71,Q9NWZ3,0.8356
71,P51532,0.669
71,P10636,0.693
71,O60885,0.6377
71,P01116/P04049,0.8459
71,Q92793,0.8615
71,P14902,0.5257
71,Q07889,0.3317
71,Q92918,0.8724
71,Q92793/Q09472,0.9347
71,Q09472,0.946
71,P36969,0.7803
71,Q13422,0.5704
71,P36888,0.7173
71,P17706,0.8568
71,Q9BY41,0.4479
71,P18031,0.9341
71,P09874,0.6296
71,P36897,0.509
71,Q00534,0.8325
71,P11802,0.7252
71,P51531/P51532,0.6772
71,P50750,0.7636
71,Q02750,0.8022
71,O15379,1.0
71,P98170,0.5808
71,Q9UBN7,0.5389
71,P49336,0.4378
71,P43490,0.4444
71,Q9UM73,0.8264
71,P01116/Q07889,0.4364
71,P25440,0.8988
71,Q15059,0.7821
71,P37840,0.5982
71,Q06124,0.7067
71,P30530,0.9621
71,Q9NYV4,0.848
71,P40337,0.7375
71,Q14004,0.6964
71,P06239,0.5702
71,P40763,0.3529
71,P24941,0.8762
71,P49840,1.0
71,Q9Y2I7,0.6481
71,P33981,0.7
71,Q08881,0.5571
71,Q93009,0.7949
71,P08581,1.0
71,P15170,0.4808
71,Q96SW2,0.0192
71,O60674,0.9375
71,Q9Y616,1.0
71,Q5S007,0.9
71,O75530,0.3714
71,Q16539,0.9167
71,P11474,0.25
71,O43924,0.8889
71,O60760,0.9048
89,P10275,0.837
89,P03372,0.8383
89,Q06187,0.8041
89,P01116,0.8538
89,P15056,0.7491
89,P51531,0.6579
89,P00533,0.8175
89,Q9NWZ3,0.808
89,P51532,0.6864
89,P10636,0.7098
89,O60885,0.6283
89,P01116/P04049,0.8395
89,Q92793,0.8584
89,P14902,0.5406
89,Q07889,0.3252
89,Q92918,0.8559
89,Q92793/Q09472,0.945
89,Q09472,0.9427
89,P36969,0.7945
89,Q13422,0.5851
89,P36888,0.732
89,P17706,0.8594
89,Q9BY41,0.4222
89,P18031,0.9341
89,P09874,0.7765
89,P36897,0.578
89,Q00534,0.835
89,P11802,0.7106
89,P51531/P51532,0.6878
89,P50750,0.7891
89,Q02750,0.6044
89,O15379,1.0
89,P98170,0.5657
89,Q9UBN7,0.575
89,P49336,0.553
89,P43490,0.2994
89,Q9UM73,0.8542
89,P01116/Q07889,0.4636
89,P25440,0.8704
89,Q15059,0.7863
89,P37840,0.5
89,Q06124,0.6356
89,P30530,0.9545
89,Q9NYV4,0.8363
89,P40337,0.7563
89,Q14004,0.7143
89,P06239,0.7105
89,P40763,0.2605
89,P24941,0.8762
89,P49840,1.0
89,Q9Y2I7,0.7778
89,P33981,0.79
89,Q08881,0.5857
89,Q93009,0.5513
89,P08581,1.0
89,P15170,0.1731
89,Q96SW2,0.1731
89,O60674,0.9375
89,Q9Y616,0.7083
89,Q5S007,0.9
89,O75530,0.5429
89,Q16539,0.9167
89,P11474,0.3571
89,O43924,1.0
89,O60760,0.8571
97,P10275,0.8006
97,P03372,0.8365
97,Q06187,0.8028
97,P01116,0.8427
97,P15056,0.7571
97,P51531,0.6529
97,P00533,0.7856
97,Q9NWZ3,0.8242
97,P51532,0.6882
97,P10636,0.6892
97,O60885,0.6212
97,P01116/P04049,0.8351
97,Q92793,0.8584
97,P14902,0.5202
97,Q07889,0.3446
97,Q92918,0.8379
97,Q92793/Q09472,0.9366
97,Q09472,0.9492
97,P36969,0.8284
97,Q13422,0.5859
97,P36888,0.6724
97,P17706,0.8707
97,Q9BY41,0.4528
97,P18031,0.9459
97,P09874,0.5106
97,P36897,0.5243
97,Q00534,0.8412
97,P11802,0.7382
97,P51531/P51532,0.6878
97,P50750,0.7655
97,Q02750,0.5824
97,O15379,1.0
97,P98170,0.5808
97,Q9UBN7,0.5889
97,P49336,0.6267
97,P43490,0.4938
97,Q9UM73,0.901
97,P01116/Q07889,0.4545
97,P25440,0.8785
97,Q15059,0.7906
97,P37840,0.5402
97,Q06124,0.6133
97,P30530,0.9773
97,Q9NYV4,0.8187
97,P40337,0.7438
97,Q14004,0.7262
97,P06239,0.5088
97,P40763,0.3697
97,P24941,0.8762
97,P49840,1.0
97,Q9Y2I7,0.4444
97,P33981,0.88
97,Q08881,0.6143
97,Q93009,0.5897
97,P08581,1.0
97,P15170,0.0769
97,Q96SW2,0.0385
97,O60674,1.0
97,Q9Y616,0.875
97,Q5S007,0.9
97,O75530,0.4286
97,Q16539,0.9167
97,P11474,0.5714
97,O43924,1.0
97,O60760,0.7619
