seed,target,auroc
42,MDM2_Q00987,0.8333
42,ER_P03372,0.027
42,AR_P10275,0.4716
42,BRD4_O60885,0.5961
42,CRBN_Q96SW2,0.2833
42,BRD2_P25440,0.7018
42,BRD3_Q15059,0.4423
42,ERRalpha_P11474,0.4167
42,BTK_Q06187,0.6571
42,ALK_Q9UM73,0.8658
42,CDK4_P11802,0.6321
42,CDK6_Q00534,0.7353
42,FAK_Q05397,0.72
42,EGFR_P00533,0.5093
42,BCR-ABL_nan,0.4571
42,MEK1_Q02750,0.6173
42,MEK2_P36507,0.5
42,STAT3_P40763,0.4
42,EGFR L858R/T790M_P00533,0.7833
42,EGFR e19d_P00533,0.8545
42,CDK2_P24941,0.7143
42,BCL-xL_Q07817,0.7308
42,JAK2_O60674,0.6875
42,AKT1_P31749,0.448
42,IRAK3_Q9Y616,0.35
42,FLT3_P36888,0.9048
42,Src_P12931,0.75
42,Wee1_P30291,0.6562
42,PARP1_P09874,0.85
42,SHP2_Q06124,1.0
42,TRKA_P04629,0.5
42,GSK-3beta_P49841,0.9333
42,CDK12_Q9NYV4,0.9375
42,FLT3-ITD_P36888,1.0
42,WDR5_P61964,0.5
42,HPGDS_O60760,0.5
42,AKT2_P31751,0.4808
42,AKT3_Q9Y243,0.4583
42,PI3Kalpha_P42336,0.5455
43,MDM2_Q00987,0.8194
43,ER_P03372,0.1216
43,AR_P10275,0.439
43,BRD4_O60885,0.5793
43,CRBN_Q96SW2,0.1833
43,BRD2_P25440,0.6842
43,BRD3_Q15059,0.4135
43,ERRalpha_P11474,0.375
43,BTK_Q06187,0.6394
43,ALK_Q9UM73,0.8941
43,CDK4_P11802,0.5993
43,CDK6_Q00534,0.6859
43,FAK_Q05397,0.74
43,EGFR_P00533,0.4074
43,BCR-ABL_nan,0.5011
43,MEK1_Q02750,0.5926
43,MEK2_P36507,0.5
43,STAT3_P40763,0.45
43,EGFR L858R/T790M_P00533,0.7333
43,EGFR e19d_P00533,0.697
43,CDK2_P24941,0.7551
43,BCL-xL_Q07817,0.5577
43,JAK2_O60674,0.875
43,AKT1_P31749,0.424
43,IRAK3_Q9Y616,1.0
43,FLT3_P36888,1.0
43,Src_P12931,0.625
43,Wee1_P30291,0.6562
43,PARP1_P09874,0.8731
43,SHP2_Q06124,0.9286
43,TRKA_P04629,0.5
